Country Name,Country Name English,AI Index,Management Remuneration,Management Competence,Management Education,Digital Skills
Аргентина,Argentina,17.5,37.849,4.42,5.85,5.454545454545454
Австралия,Australia,30.9,156.674,5.46,7.06,6.5858585858585865
Австрия,Austria,27.7,275.52,5.18,7.1,6.361111111111111
Бельгия,Belgium,26.6,254.449,6.64,7.23,6.723404255319149
Ботсвана,Botswana,0.0,167.11,5.1,5.18,5.508196721311475
Бразилия,Brazil,22.1,93.85,3.77,3.93,5.0510948905109485
Болгария,Bulgaria,0.0,48.022,3.67,4.03,7.066666666666666
Канада,Canada,40.3,201.383,6.68,7.75,7.846153846153847
Чили,Chile,20.2,180.102,5.21,6.57,6.955223880597014
Колумбия,Colombia,17.8,128.854,4.24,4.67,5.722222222222222
Хорватия,Croatia,0.0,87.775,3.91,4.97,6.848484848484848
Кипр,Cyprus,0.0,85.236,5.29,6.58,7.0
Чехия,Czechia,22.1,106.454,5.02,6.86,7.142857142857142
Дания,Denmark,30.5,217.395,7.31,8.13,8.311688311688311
Эстония,Estonia,26.0,98.07,4.21,6.94,6.298507462686567
Финляндия,Finland,34.9,177.937,6.46,8.23,8.571428571428571
Франция,France,32.8,257.54,5.03,6.57,7.01010101010101
Германия,Germany,39.2,303.57,5.56,7.27,5.804878048780488
Греция,Greece,18.3,178.793,4.9,5.83,6.112676056338028
Венгрия,Hungary,20.7,81.1,3.57,5.1,5.54954954954955
Исландия,Iceland,20.6,87.701,6.72,7.86,8.81159420289855
Индия,India,31.4,103.745,6.6,7.24,7.685393258426966
Индонезия,Indonesia,18.2,84.341,6.12,6.0,6.345679012345679
Ирландия,Ireland,28.8,210.229,6.92,6.75,6.779661016949152
Израиль,Israel,40.0,181.516,6.79,6.28,7.488372093023257
Италия,Italy,26.5,256.104,5.93,6.57,6.022988505747126
Иордания,Jordan,0.0,59.902,6.4,6.19,7.192307692307692
Казахстан,Kazakhstan,0.0,16.0,6.05,5.44,6.307692307692308
Республика Корея,Korea Republic,40.3,237.687,3.85,5.6,6.1914893617021285
Латвия,Latvia,0.0,99.037,6.0,6.67,7.024390243902438
Литва,Lithuania,19.7,112.304,5.35,6.06,8.615384615384615
Люксембург,Luxembourg,29.2,263.271,4.87,6.49,6.615384615384615
Малайзия,Malaysia,19.6,117.688,5.83,5.87,6.722222222222221
Мексика,Mexico,0.0,200.98,5.07,5.57,6.055555555555555
Нидерланды,Netherlands,34.5,244.812,6.97,8.31,8.258620689655173
Норвегия,Norway,26.4,136.174,6.36,7.16,8.093023255813954
Перу,Peru,0.0,163.911,4.21,4.86,5.105882352941176
Филиппины,Philippines,0.0,159.418,6.18,6.65,6.3423423423423415
Польша,Poland,24.8,145.948,4.31,4.87,4.8354430379746836
Португалия,Portugal,23.7,157.932,4.48,6.94,7.419354838709678
Катар,Qatar,19.8,161.676,6.62,7.65,7.96078431372549
Румыния,Romania,0.0,90.522,3.84,4.75,7.174603174603174
Россия,Russia,23.7,167.11,5.42,6.3,6.13
Саудовская Аравия,Saudi Arabia,23.3,144.621,6.16,7.12,8.157894736842104
Сингапур,Singapore,49.7,298.777,6.82,7.75,8.071428571428571
Словакия,Slovak Republic,17.1,175.796,4.33,5.44,6.75
Словения,Slovenia,21.5,127.847,4.93,6.32,7.090909090909092
Южная Африка,South Africa,14.1,43.111,4.9,5.17,5.484848484848484
Испания,Spain,27.7,203.446,5.06,6.8,6.984375
Швеция,Sweden,30.3,208.113,7.17,8.0,8.391304347826088
Швейцария,Switzerland,37.7,456.478,7.01,8.72,7.666666666666666
Таиланд,Thailand,0.0,193.549,6.04,6.22,6.217821782178218
Турция,Turkiye,20.6,128.492,4.53,4.73,5.949367088607595
ОАЭ,UAE,23.9,243.522,7.21,6.5,7.7142857142857135
Великобритания,United Kingdom,41.8,396.392,6.34,7.28,7.132530120481928
США,USA ,100.0,242.15,5.79,6.19,8.021052631578947
